Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2511","Blé et produits","2013","2013","Milliers de tonnes","5169","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantité","2511","Blé et produits","2013","2013","Milliers de tonnes","1812","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2511","Blé et produits","2013","2013","Milliers de tonnes","343","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2511","Blé et produits","2013","2013","Milliers de tonnes","6639","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5521","Aliments pour animaux","2511","Blé et produits","2013","2013","Milliers de tonnes","326","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5527","Semences","2511","Blé et produits","2013","2013","Milliers de tonnes","322","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5123","Pertes","2511","Blé et produits","2013","2013","Milliers de tonnes","775","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5131","Traitement","2511","Blé et produits","2013","2013","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","Résidus","2511","Blé et produits","2013","2013","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2511","Blé et produits","2013","2013","Milliers de tonnes","5215","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé et produits","2013","2013","kg","161.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2511","Blé et produits","2013","2013","Kcal/personne/jour","1381","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2511","Blé et produits","2013","2013","g/personne/jour","37.24","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2511","Blé et produits","2013","2013","g/personne/jour","4.72","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2807","Riz et produits","2013","2013","Milliers de tonnes","512","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantité","2807","Riz et produits","2013","2013","Milliers de tonnes","178","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2807","Riz et produits","2013","2013","Milliers de tonnes","3","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2807","Riz et produits","2013","2013","Milliers de tonnes","687","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5521","Aliments pour animaux","2807","Riz et produits","2013","2013","Milliers de tonnes","9","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5527","Semences","2807","Riz et produits","2013","2013","Milliers de tonnes","22","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5123","Pertes","2807","Riz et produits","2013","2013","Milliers de tonnes","36","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5131","Traitement","2807","Riz et produits","2013","2013","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5170","Résidus","2807","Riz et produits","2013","2013","Milliers de tonnes","0","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5142","Nourriture","2807","Riz et produits","2013","2013","Milliers de tonnes","620","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","2807","Riz et produits","2013","2013","kg","19.21","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2807","Riz et produits","2013","2013","Kcal/personne/jour","162","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2807","Riz et produits","2013","2013","g/personne/jour","3.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2807","Riz et produits","2013","2013","g/personne/jour","0.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5511","Production","2513","Orge et produits","2013","2013","Milliers de tonnes","514","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5611","Importations - Quantité","2513","Orge et produits","2013","2013","Milliers de tonnes","10","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5072","Variation de stock","2513","Orge et produits","2013","2013","Milliers de tonnes","14","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2513","Orge et produits","2013","2013","Milliers de tonnes","510","S","Données standardisées"
